block,basefee,gas_used,demand_lambda,block_max_gas,moving_avg_window
1,1.0344112,244566000,15000,300000000,50
2,1.068307337,242781000,15000,300000000,50
3,1.102879471,245889000,15000,300000000,50
4,1.137769989,241374000,15000,300000000,50
5,1.173137341,240618000,15000,300000000,50
6,1.209262463,241962000,15000,300000000,50
7,1.2460683,239883000,15000,300000000,50
8,1.283569306,238812000,15000,300000000,50
9,1.32191907,239841000,15000,300000000,50
10,1.36099442,236964000,15000,300000000,50
11,1.40116789,241983000,15000,300000000,50
12,1.442081647,235095000,15000,300000000,50
13,1.483780879,234801000,15000,300000000,50
14,1.526360879,235557000,15000,300000000,50
15,1.570052959,239148000,15000,300000000,50
16,1.614569169,232512000,15000,300000000,50
17,1.659999844,233394000,15000,300000000,50
18,1.706311672,231735000,15000,300000000,50
19,1.753558623,231966000,15000,300000000,50
20,1.801747349,231189000,15000,300000000,50
21,1.85106386,234528000,15000,300000000,50
22,1.901437778,232008000,15000,300000000,50
23,1.952835289,230307000,15000,300000000,50
24,2.005153152,226926000,15000,300000000,50
25,2.058612139,231399000,15000,300000000,50
26,2.113126628,228396000,15000,300000000,50
27,2.168537879,223566000,15000,300000000,50
28,2.225006964,226758000,15000,300000000,50
29,2.282492481,224847000,15000,300000000,50
30,2.340910387,221865000,15000,300000000,50
31,2.400237015,220458000,15000,300000000,50
32,2.460788274,227829000,15000,300000000,50
33,2.522286673,219765000,15000,300000000,50
34,2.584732841,219030000,15000,300000000,50
35,2.64816207,219219000,15000,300000000,50
36,2.712643127,220290000,15000,300000000,50
37,2.778021367,215481000,15000,300000000,50
38,2.844264896,213990000,15000,300000000,50
39,2.911313435,211785000,15000,300000000,50
40,2.979278203,214158000,15000,300000000,50
41,3.048298942,217245000,15000,300000000,50
42,3.118319191,215082000,15000,300000000,50
43,3.189441815,217182000,15000,300000000,50
44,3.261445179,210651000,15000,300000000,50
45,3.334247215,207963000,15000,300000000,50
46,3.407826871,206955000,15000,300000000,50
47,3.482132604,205170000,15000,300000000,50
48,3.557214546,206115000,15000,300000000,50
49,3.63302556,204477000,15000,300000000,50
50,3.708241977,202440000,15000,300000000,50
51,3.783135055,197022000,15000,300000000,50
52,3.857783996,199248000,15000,300000000,50
53,3.931985786,199227000,15000,300000000,50
54,4.005780162,197631000,15000,300000000,50
